class,accuracy,precision,recall,f1_score
0,0.99949924887331,0.0,0.0,0.0
1,0.99899849774662,0.0,0.0,0.0
2,0.9389083625438157,0.0,0.0,0.0
3,0.99899849774662,0.0,0.0,0.0
4,0.9984977466199298,0.0,0.0,0.0
5,0.9394091136705057,0.0,0.0,0.0
6,0.9979969954932398,0.0,0.0,0.0
7,0.99899849774662,0.0,0.0,0.0
8,0.99899849774662,0.0,0.0,0.0
9,0.9964947421131698,0.0,0.0,0.0
10,0.9984977466199298,0.0,0.0,0.0
11,0.9954932398597897,0.0,0.0,0.0
12,0.9399098647971958,0.0,0.0,0.0
13,0.9969954932398598,0.0,0.0,0.0
14,0.9889834752128193,0.0,0.0,0.0
15,0.9974962443665498,0.0,0.0,0.0
16,0.9974962443665498,0.0,0.0,0.0
17,0.9689534301452178,0.0,0.0,0.0
18,0.9313970956434652,0.0,0.0,0.0
19,0.9534301452178268,0.010638297872340425,1.0,0.021052631578947368
20,0.9979969954932398,0.0,0.0,0.0
21,0.9969954932398598,0.0,0.0,0.0
22,0.927391086629945,0.0,0.0,0.0
23,0.9814722083124687,0.0,0.0,0.0
24,0.9173760640961443,0.0,0.0,0.0
25,0.9128693039559339,0.0,0.0,0.0
26,0.99899849774662,0.0,0.0,0.0
27,0.99949924887331,0.0,0.0,0.0
28,0.9634451677516275,0.0,0.0,0.0
29,0.99949924887331,0.0,0.0,0.0
30,0.99949924887331,0.0,0.0,0.0
31,0.9979969954932398,0.0,0.0,0.0
32,0.9619429143715573,0.0,0.0,0.0
33,0.99899849774662,0.0,0.0,0.0
34,0.99899849774662,0.0,0.0,0.0
35,0.99949924887331,0.0,0.0,0.0
36,0.9674511767651477,0.0,0.0,0.0
37,0.9944917376064096,0.0,0.0,0.0
38,0.9979969954932398,0.0,0.0,0.0
39,0.9949924887330996,0.0,0.0,0.0
40,0.9133700550826239,0.0,0.0,0.0
41,0.9739609414121182,0.0,0.0,0.0
42,0.9984977466199298,0.0,0.0,0.0
43,0.9344016024036054,0.0,0.0,0.0
44,0.9954932398597897,0.0,0.0,0.0
45,0.9979969954932398,0.0,0.0,0.0
46,0.9984977466199298,0.0,0.0,0.0
47,0.9919879819729595,0.0,0.0,0.0
48,0.9984977466199298,0.0,0.0,0.0
49,0.9303955933900852,0.0,0.0,0.0
