class,accuracy,precision,recall,f1_score
0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0
2,0.9557522123893806,0.75,0.45,0.5625000000000001
3,0.9993678887484198,0.6666666666666666,1.0,0.8
4,0.9987357774968394,0.6666666666666666,0.6666666666666666,0.6666666666666666
5,0.9753476611883691,0.8309859154929577,0.686046511627907,0.751592356687898
6,0.9974715549936789,0.5,0.5,0.5
7,1.0,1.0,1.0,1.0
8,0.9993678887484198,1.0,0.5,0.6666666666666666
9,0.9993678887484198,1.0,0.8,0.888888888888889
10,1.0,1.0,1.0,1.0
11,0.9974715549936789,0.6,1.0,0.7499999999999999
12,0.9595448798988622,0.5833333333333334,0.6282051282051282,0.6049382716049383
13,0.9987357774968394,0.5,0.5,0.5
14,0.9936788874841972,0.8666666666666667,0.6190476190476191,0.7222222222222222
15,0.9962073324905183,0.5,0.5,0.5
16,0.995575221238938,0.0,0.0,0.0
17,0.9671302149178256,0.38028169014084506,0.7714285714285715,0.5094339622641509
18,0.9620733249051833,0.6736842105263158,0.6881720430107527,0.6808510638297872
19,0.9936788874841972,0.9420289855072463,0.9154929577464789,0.9285714285714286
20,1.0,1.0,1.0,1.0
21,0.9949431099873578,0.45454545454545453,0.7142857142857143,0.5555555555555556
22,0.9683944374209861,0.7522123893805309,0.794392523364486,0.7727272727272728
23,0.9968394437420987,0.896551724137931,0.9285714285714286,0.912280701754386
24,0.9551201011378002,0.717948717948718,0.6885245901639344,0.7029288702928871
25,0.9715549936788875,0.8769230769230769,0.7972027972027972,0.8351648351648352
26,1.0,1.0,1.0,1.0
27,0.9981036662452591,0.0,0.0,0.0
28,0.9664981036662452,0.525,0.7368421052631579,0.6131386861313869
29,0.9993678887484198,1.0,0.5,0.6666666666666666
30,0.9993678887484198,0.0,0.0,0.0
31,0.9993678887484198,1.0,0.5,0.6666666666666666
32,0.9652338811630847,0.5569620253164557,0.6875,0.6153846153846154
33,0.9993678887484198,0.5,1.0,0.6666666666666666
34,0.9993678887484198,0.5,1.0,0.6666666666666666
35,0.9993678887484198,0.0,0.0,0.0
36,0.9702907711757269,0.5245901639344263,0.64,0.5765765765765766
37,0.9962073324905183,0.5555555555555556,0.7142857142857143,0.6250000000000001
38,0.9987357774968394,0.0,0.0,0.0
39,0.9981036662452591,1.0,0.625,0.7692307692307693
40,0.972819216182048,0.8780487804878049,0.7941176470588235,0.833976833976834
41,0.9759797724399494,0.5423728813559322,0.7441860465116279,0.6274509803921569
42,0.995575221238938,0.5,0.5714285714285714,0.5333333333333333
43,0.9557522123893806,0.75,0.5789473684210527,0.6534653465346535
44,0.9993678887484198,1.0,0.75,0.8571428571428571
45,0.995575221238938,0.5,0.5714285714285714,0.5333333333333333
46,0.9981036662452591,0.0,0.0,0.0
47,0.995575221238938,0.6842105263157895,0.9285714285714286,0.7878787878787878
48,1.0,1.0,1.0,1.0
49,0.972819216182048,0.8583333333333333,0.7984496124031008,0.8273092369477911
